ID	sample	num_genes	num_mutation	unannotated_mutation	num_mutation
1_0	P-0032461-N01-WES_IGO_12502_F_15_S14_L001	372886	29606	78592	
1_1	P-0032461-T01-WES_IGO_12502_F_18_S15_L001	503517	32014	132951	
1_2bx	PNET2-BF-p3_IGO_12502_F_3_S27_L001	570443	32756	155374	
1_2org	PNET2-BX-2B_IGO_12502_F_31_S40_L002	346487	11715	105653	
1_3	1_3_IGO_12502_F_33_S41_L002	1307823	37481	454334	
12_0	P-0000879-N01-WES_IGO_12502_F_25_S21_L001	239681	28016	40983	
12_3	P-0000879-T01-WES_IGO_12502_F_21_S18_L001	506762	32275	131906	
12_4	P-0000879-T02-WES_IGO_12502_F_32_S26_L001	464154	31622	124618	
12_5	P-0000879-T03-WES_IGO_12502_F_27_S22_L001	470475	31901	126902	
14_1_hg	14_1_HG_IGO_12502_F_4_S42_L002	462569	31459	128157	
14_1_lg	14_1_LG_IGO_12502_F_5_S43_L002	576041	32681	173257	
14_2	14_2_IGO_12502_F_13_S35_L002	591843	33093	174992	
14_3	14_3_IGO_12502_F_9_S45_L002	482525	31717	134665	
14_4	14_4_IGO_12502_F_28_S39_L002	734242	34436	232269	
14_5	P-0002202-T02-WES_IGO_12502_F_19_S16_L001	404274	30460	97584	
27_0	P-0014475-T01-WES_IGO_12502_F_20_S17_L001	432721	31262	111331	
27_0	P-0014475-N01-WES_IGO_12502_F_29_S23_L001	353369	29465	74561	
27_1	27_1_IGO_12502_F_26_S38_L002	1661670	38720	554137	
27_4	P-0014475-T02-WES_IGO_12502_F_12_S13_L001	518358	32355	145092	
27_6	P-0014475-T03-WES_2_IGO_12502_F_23_S20_L001	696053	33964	195983	
48_0	P-0044029-N01-WES_IGO_12502_F_22_S19_L001	473607	31113	112995	
48_1	48_1_IGO_12502_F_2	1594097	38267	559166	
48_2	P-0044029-T01-WES_IGO_12502_F_8_S29_L001	453443	31318	116204	
48_3	48_3_IGO_12502_F_6_S44_L002	925016	36097	296033	
48_4	48_4_IGO_12502_F_14_S36_L002	1024148	36308	341691	
48_5	48_5_IGO_12502_F_17_S37_L002	690406	34456	194504	
53_0	P-0052783-N01-WES_IGO_12502_F_1_S12_L001	399107	30075	91019	
53_2	53_2_IGO_12502_F_10_S34_L002	1283036	37632	425596	
53_4	P-0052783-T01-WES_IGO_12502_F_30_S25_L001	600481	32826	168218	
53_5	53_5_IGO_12502_F_7	990942	35872	330926	
